local_index_1based,local_index_0based,neuron_id,celltype,side,additional_annotations,level_7_cluster,is_orn,is_left_orn,is_right_orn,is_mbon,is_left_mbon,is_right_mbon
1,0,29,KC,right,KC,42,0,0,0,0,0,0
2,1,40045,sensory,left,olfactory,2,1,1,0,0,0,0
3,2,677717,KC,right,KC,49,0,0,0,0,0,0
4,3,2568465,PN,left,mPN; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,32,0,0,0,0,0,0
5,4,2571761,sensory,right,olfactory,2,1,0,1,0,0,0
6,5,2582391,sensory,right,olfactory,2,1,0,1,0,0,0
7,6,2584838,sensory,right,olfactory,2,1,0,1,0,0,0
8,7,2608843,sensory,right,olfactory,1,1,0,1,0,0,0
9,8,2611805,sensory,left,olfactory,2,1,1,0,0,0,0
10,9,2612527,PN,left,mPN; Multiglomerular PN 3; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,22,0,0,0,0,0,0
11,10,2776773,LN,right,no official annotation,28,0,0,0,0,0,0
12,11,2920061,LN,right,PL-4,38,0,0,0,0,0,0
13,12,2920554,LN,right,PL-5,35,0,0,0,0,0,0
14,13,2921933,LN,right,no official annotation,28,0,0,0,0,0,0
15,14,2935198,LN,right,no official annotation,56,0,0,0,0,0,0
16,15,3158543,sensory,left,olfactory,2,1,1,0,0,0,0
17,16,3234817,LN,right,APL,57,0,0,0,0,0,0
18,17,3299214,MBON,right,MBON-j1,57,0,0,0,1,0,1
19,18,3347708,KC,right,KC,30,0,0,0,0,0,0
20,19,3347834,KC,right,KC,42,0,0,0,0,0,0
21,20,3410499,sensory,left,olfactory,1,1,1,0,0,0,0
22,21,3410506,sensory,left,olfactory,2,1,1,0,0,0,0
23,22,3450442,PN,left,mPN; mPN iACT B2; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; thermo-warm 2nd_order PN,22,0,0,0,0,0,0
24,23,3450751,PN,left,mPN; Multiglomerular PN 5; olfactory 2nd_order PN; gustatory-external 2nd_order PN,22,0,0,0,0,0,0
25,24,3464773,sensory,left,olfactory,1,1,1,0,0,0,0
26,25,3465659,sensory,left,olfactory,1,1,1,0,0,0,0
27,26,3486381,PN,left,42a PN; uPN; olfactory 2nd_order PN,12,0,0,0,0,0,0
28,27,3497901,KC,right,KC,42,0,0,0,0,0,0
29,28,3511996,sensory,left,olfactory,1,1,1,0,0,0,0
30,29,3522293,KC,right,KC,49,0,0,0,0,0,0
31,30,3538129,PN,right,mPN; mPN D; mPN; olfactory 2nd_order PN,22,0,0,0,0,0,0
32,31,3547397,sensory,left,olfactory,2,1,1,0,0,0,0
33,32,3587612,KC,right,KC,33,0,0,0,0,0,0
34,33,3592997,sensory,left,olfactory,2,1,1,0,0,0,0
35,34,3664102,KC,right,KC,40,0,0,0,0,0,0
36,35,3694515,sensory,left,olfactory,2,1,1,0,0,0,0
37,36,3708875,sensory,left,olfactory,2,1,1,0,0,0,0
38,37,3712893,PN,left,mPN; mPN iACT bilateral LOWER; Multiglomerular PN 2; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,22,0,0,0,0,0,0
39,38,3716797,sensory,left,olfactory,1,1,1,0,0,0,0
40,39,3768025,sensory,left,olfactory,2,1,1,0,0,0,0
41,40,3771794,sensory,left,olfactory,2,1,1,0,0,0,0
42,41,3774568,sensory,left,olfactory,1,1,1,0,0,0,0
43,42,3790004,sensory,right,olfactory,1,1,0,1,0,0,0
44,43,3805641,LN,right,no official annotation,1,0,0,0,0,0,0
45,44,3806573,LN,right,no official annotation,10,0,0,0,0,0,0
46,45,3813723,sensory,right,olfactory,2,1,0,1,0,0,0
47,46,3819157,KC,left,KC,33,0,0,0,0,0,0
48,47,3819171,KC,left,KC,49,0,0,0,0,0,0
49,48,3827211,sensory,right,olfactory,1,1,0,1,0,0,0
