episode,step_raw,step_ema
1,300.0,300.0
2,300.0,300.0
3,300.0,300.0
4,300.0,300.0
5,300.0,300.0
6,300.0,300.0
7,300.0,300.0
8,300.0,300.0
9,300.0,300.0
10,300.0,300.0
11,74.0,288.7
12,300.0,289.265
13,300.0,289.80174999999997
14,300.0,290.31166249999995
15,300.0,290.7960793749999
16,300.0,291.2562754062499
17,300.0,291.6934616359374
18,300.0,292.1087885541405
19,300.0,292.5033491264335
20,300.0,292.8781816701118
21,300.0,293.2342725866062
22,300.0,293.5725589572759
23,300.0,293.8939310094121
24,300.0,294.1992344589415
25,300.0,294.4892727359944
26,300.0,294.7648090991947
27,300.0,295.02656864423494
28,300.0,295.27524021202316
29,300.0,295.511478201422
30,300.0,295.7359042913509
31,300.0,295.9491090767833
32,300.0,296.15165362294414
33,300.0,296.34407094179693
34,300.0,296.5268673947071
35,300.0,296.70052402497174
36,300.0,296.86549782372316
37,300.0,297.022222932537
38,300.0,297.1711117859101
39,300.0,297.3125561966146
40,300.0,297.44692838678384
41,300.0,297.57458196744466
42,300.0,297.69585286907244
43,300.0,297.8110602256188
44,300.0,297.9205072143379
45,300.0,298.02448185362096
46,300.0,298.1232577609399
47,300.0,298.2170948728929
48,300.0,298.30624012924824
49,300.0,298.3909281227858
50,300.0,298.4713817166465
51,231.0,295.09781263081413
52,300.0,295.3429219992734
53,300.0,295.57577589930975
54,300.0,295.7969871043442
55,300.0,296.007137749127
56,300.0,296.20678086167067
57,300.0,296.3964418185871
58,300.0,296.5766197276577
59,300.0,296.7477887412748
60,300.0,296.91039930421107
61,300.0,297.0648793390005
62,300.0,297.21163537205047
63,300.0,297.35105360344795
64,300.0,297.4835009232755
65,300.0,297.60932587711176
66,300.0,297.72885958325617
67,300.0,297.84241660409333
68,300.0,297.9502957738886
69,300.0,298.0527809851942
70,300.0,298.15014193593447
71,300.0,298.24263483913774
72,300.0,298.33050309718084
73,300.0,298.41397794232176
74,300.0,298.49327904520567
75,300.0,298.5686150929454
76,300.0,298.64018433829807
77,300.0,298.70817512138314
78,300.0,298.77276636531394
79,300.0,298.83412804704824
80,300.0,298.8924216446958
81,300.0,298.947800562461
82,300.0,299.00041053433796
83,300.0,299.05039000762105
84,300.0,299.09787050724
85,300.0,299.14297698187795
86,300.0,299.185828132784
87,300.0,299.2265367261448
88,300.0,299.26520988983754
89,300.0,299.3019493953457
90,300.0,299.3368519255784
91,170.0,292.8700093292995
92,300.0,293.22650886283446
93,300.0,293.56518341969274
94,300.0,293.8869242487081
95,300.0,294.1925780362727
96,300.0,294.4829491344591
97,300.0,294.75880167773613
98,300.0,295.0208615938493
99,300.0,295.26981851415684
100,62.0,283.606327588449
101,300.0,284.42601120902657
102,300.0,285.2047106485752
103,300.0,285.9444751161464
104,300.0,286.64725136033906
105,300.0,287.3148887923221
106,300.0,287.949144352706
107,300.0,288.5516871350707
108,256.0,286.9241027783172
109,300.0,287.57789763940133
110,300.0,288.19900275743123
111,300.0,288.78905261955964
112,300.0,289.34959998858164
113,300.0,289.88211998915256
114,300.0,290.3880139896949
115,274.0,289.5686132902101
116,300.0,290.0901826256996
117,300.0,290.5856734944146
118,300.0,291.0563898196939
119,300.0,291.5035703287092
120,300.0,291.92839181227373
121,300.0,292.33197222166
122,300.0,292.715373610577
123,300.0,293.0796049300481
124,300.0,293.42562468354566
125,300.0,293.7543434493684
126,300.0,294.06662627689997
127,300.0,294.36329496305495
128,300.0,294.64513021490217
129,300.0,294.91287370415705
130,199.0,290.11723001894916
131,300.0,290.6113685180017
132,300.0,291.08080009210164
133,300.0,291.52676008749654
134,300.0,291.9504220831217
135,300.0,292.3529009789656
136,300.0,292.7352559300173
137,300.0,293.0984931335164
138,300.0,293.44356847684054
139,300.0,293.7713900529985
140,300.0,294.0828205503486
141,300.0,294.37867952283113
142,300.0,294.6597455466896
143,300.0,294.9267582693551
144,300.0,295.18042035588735
145,300.0,295.42139933809295
146,300.0,295.6503293711883
147,300.0,295.8678129026289
148,300.0,296.0744222574974
149,300.0,296.27070114462254
150,300.0,296.4571660873914
151,300.0,296.6343077830218
152,300.0,296.8025923938707
153,300.0,296.9624627741772
154,300.0,297.1143396354683
155,300.0,297.2586226536949
156,300.0,297.3956915210101
157,300.0,297.5259069449596
158,300.0,297.6496115977116
159,300.0,297.76713101782605
160,300.0,297.8787744669347
161,300.0,297.98483574358795
162,300.0,298.08559395640856
163,300.0,298.18131425858815
164,300.0,298.2722485456587
165,300.0,298.3586361183758
166,300.0,298.440704312457
167,300.0,298.5186690968341
168,300.0,298.5927356419924
169,300.0,298.6630988598928
170,300.0,298.72994391689815
171,300.0,298.7934467210532
172,300.0,298.8537743850005
173,300.0,298.9110856657505
174,300.0,298.9655313824629
175,300.0,299.0172548133398
176,300.0,299.0663920726728
177,300.0,299.11307246903914
178,300.0,299.1574188455872
179,300.0,299.1995479033078
180,300.0,299.2395705081424
181,300.0,299.27759198273526
182,300.0,299.3137123835985
183,300.0,299.34802676441853
184,300.0,299.3806254261976
185,300.0,299.41159415488767
186,300.0,299.4410144471433
187,300.0,299.46896372478614
188,227.0,295.84551553854686
189,300.0,296.0532397616195
190,300.0,296.2505777735385
191,187.0,290.7880488848616
192,300.0,291.24864644061853
193,300.0,291.6862141185876
194,300.0,292.1019034126582
195,300.0,292.4968082420253
196,300.0,292.871967829924
197,144.0,285.4283694384278
198,300.0,286.15695096650643
199,300.0,286.8491034181811
200,187.0,281.856648247272
201,300.0,282.76381583490837
202,300.0,283.6256250431629
203,300.0,284.44434379100477
204,300.0,285.22212660145453
205,300.0,285.9610202713818
206,300.0,286.66296925781273
207,300.0,287.32982079492206
208,300.0,287.96332975517595
209,300.0,288.5651632674171
210,300.0,289.13690510404626
211,300.0,289.68005984884394
212,300.0,290.19605685640175
213,300.0,290.6862540135817
214,300.0,291.1519413129026
215,300.0,291.5943442472574
216,300.0,292.01462703489454
217,300.0,292.4138956831498
218,300.0,292.7932008989923
219,300.0,293.1535408540427
220,300.0,293.49586381134054
221,300.0,293.8210706207735
222,300.0,294.13001708973485
223,300.0,294.4235162352481
224,300.0,294.7023404234857
225,300.0,294.9672234023114
226,300.0,295.2188622321958
227,300.0,295.45791912058604
228,300.0,295.68502316455675
229,300.0,295.9007720063289
230,300.0,296.10573340601246
231,300.0,296.30044673571183
232,300.0,296.4854243989262
233,300.0,296.66115317897993
234,300.0,296.8280955200309
235,300.0,296.9866907440293
236,300.0,297.13735620682786
237,300.0,297.2804883964865
238,300.0,297.41646397666216
239,300.0,297.545640777829
240,300.0,297.66835873893757
241,300.0,297.7849408019907
242,300.0,297.89569376189115
243,300.0,298.0009090737966
244,300.0,298.10086362010674
245,300.0,298.1958204391014
246,300.0,298.2860294171463
247,300.0,298.371727946289
248,300.0,298.45314154897454
249,300.0,298.5304844715258
250,300.0,298.60396024794954
251,300.0,298.67376223555203
252,300.0,298.74007412377443
253,300.0,298.8030704175857
254,300.0,298.8629168967064
255,300.0,298.91977105187107
256,300.0,298.9737824992775
257,300.0,299.0250933743136
258,300.0,299.0738387055979
259,300.0,299.120146770318
260,300.0,299.1641394318021
261,300.0,299.20593246021195
262,300.0,299.24563583720135
263,300.0,299.28335404534124
264,300.0,299.3191863430742
265,300.0,299.3532270259205
266,300.0,299.38556567462444
267,300.0,299.4162873908932
268,300.0,299.44547302134856
269,300.0,299.4731993702811
270,300.0,299.49953940176704
271,300.0,299.52456243167865
272,300.0,299.5483343100947
273,300.0,299.5709175945899
274,300.0,299.5923717148604
275,300.0,299.6127531291174
276,239.0,296.5821154726615
277,258.0,294.65300969902836
278,300.0,294.92035921407694
279,300.0,295.1743412533731
280,300.0,295.4156241907044
281,300.0,295.6448429811692
282,300.0,295.86260083211073
283,300.0,296.0694707905052
284,300.0,296.2659972509799
285,300.0,296.4526973884309
286,300.0,296.63006251900936
287,300.0,296.7985593930589
288,300.0,296.95863142340596
289,300.0,297.11069985223565
290,300.0,297.25516485962385
291,300.0,297.39240661664263
292,300.0,297.52278628581047
293,300.0,297.64664697151994
294,300.0,297.7643146229439
295,143.0,290.02609889179666
296,300.0,290.52479394720683
297,300.0,290.99855424984645
298,300.0,291.44862653735413
299,300.0,291.8761952104864
300,300.0,292.2823854499621
301,300.0,292.668266177464
302,300.0,293.03485286859075
303,300.0,293.3831102251612
304,300.0,293.71395471390315
305,300.0,294.028256978208
306,300.0,294.32684412929757
307,236.0,291.4105019228327
308,300.0,291.83997682669104
309,300.0,292.2479779853565
310,300.0,292.6355790860887
